HUD frame time nsec:,16667000

Range Index,Elapsed Time, First Event,Last Event
0,10752,1,1
1,12960,3,3
2,12864,24,24
3,13632,67,67
4,672,74,74
5,640,81,81
6,672,88,88
7,736,94,94
8,55296,133,133
9,11456,176,176
10,672,183,183
11,672,190,190
12,736,197,197
13,672,203,203
14,11666720,213,213

Range Index,Elapsed Time, First Event,Last Event
0,10144,1,1
1,12992,3,3
2,13056,24,24
3,9440,67,67
4,640,74,74
5,672,81,81
6,672,88,88
7,672,94,94
8,68320,133,133
9,10944,176,176
10,672,183,183
11,672,190,190
12,640,197,197
13,672,203,203
14,12849152,213,213
